Chromosome,Position,Coverage
PV426769.1,1,155
PV426769.1,2,155
PV426769.1,3,156
PV426769.1,4,163
PV426769.1,5,166
PV426769.1,6,166
PV426769.1,7,166
PV426769.1,8,169
PV426769.1,9,167
PV426769.1,10,168
PV426769.1,11,172
PV426769.1,12,172
PV426769.1,13,172
PV426769.1,14,177
PV426769.1,15,176
PV426769.1,16,180
PV426769.1,17,180
PV426769.1,18,180
PV426769.1,19,180
PV426769.1,20,180
PV426769.1,21,170
PV426769.1,22,169
PV426769.1,23,183
PV426769.1,24,183
PV426769.1,25,182
PV426769.1,26,173
PV426769.1,27,183
PV426769.1,28,186
PV426769.1,29,187
PV426769.1,30,184
PV426769.1,31,188
PV426769.1,32,188
PV426769.1,33,185
PV426769.1,34,186
PV426769.1,35,187
PV426769.1,36,189
PV426769.1,37,190
PV426769.1,38,187
PV426769.1,39,190
PV426769.1,40,190
PV426769.1,41,189
PV426769.1,42,190
PV426769.1,43,188
PV426769.1,44,187
PV426769.1,45,186
PV426769.1,46,190
PV426769.1,47,190
PV426769.1,48,184
PV426769.1,49,187
PV426769.1,50,189
PV426769.1,51,190
PV426769.1,52,192
PV426769.1,53,198
PV426769.1,54,198
PV426769.1,55,197
PV426769.1,56,196
PV426769.1,57,190
PV426769.1,58,202
PV426769.1,59,204
PV426769.1,60,204
PV426769.1,61,206
PV426769.1,62,206
PV426769.1,63,207
PV426769.1,64,209
PV426769.1,65,209
PV426769.1,66,208
PV426769.1,67,208
PV426769.1,68,208
PV426769.1,69,209
PV426769.1,70,214
PV426769.1,71,214
PV426769.1,72,212
PV426769.1,73,218
PV426769.1,74,216
PV426769.1,75,211
PV426769.1,76,216
PV426769.1,77,217
PV426769.1,78,213
PV426769.1,79,216
PV426769.1,80,216
PV426769.1,81,218
PV426769.1,82,215
PV426769.1,83,216
PV426769.1,84,214
PV426769.1,85,215
PV426769.1,86,216
PV426769.1,87,211
PV426769.1,88,213
PV426769.1,89,198
PV426769.1,90,216
PV426769.1,91,218
PV426769.1,92,218
PV426769.1,93,217
PV426769.1,94,217
PV426769.1,95,216
PV426769.1,96,215
PV426769.1,97,212
PV426769.1,98,197
PV426769.1,99,210
PV426769.1,100,209
PV426769.1,101,210
PV426769.1,102,206
PV426769.1,103,193
PV426769.1,104,211
PV426769.1,105,211
PV426769.1,106,211
PV426769.1,107,211
PV426769.1,108,205
PV426769.1,109,210
PV426769.1,110,209
PV426769.1,111,201
PV426769.1,112,207
PV426769.1,113,202
PV426769.1,114,197
PV426769.1,115,201
PV426769.1,116,206
PV426769.1,117,206
PV426769.1,118,207
PV426769.1,119,205
PV426769.1,120,202
PV426769.1,121,200
PV426769.1,122,203
PV426769.1,123,206
PV426769.1,124,208
PV426769.1,125,209
PV426769.1,126,211
PV426769.1,127,210
PV426769.1,128,201
PV426769.1,129,206
PV426769.1,130,202
PV426769.1,131,203
PV426769.1,132,194
PV426769.1,133,196
PV426769.1,134,198
PV426769.1,135,201
PV426769.1,136,202
PV426769.1,137,200
PV426769.1,138,198
PV426769.1,139,199
PV426769.1,140,196
PV426769.1,141,201
PV426769.1,142,198
PV426769.1,143,201
PV426769.1,144,201
PV426769.1,145,202
PV426769.1,146,203
PV426769.1,147,202
PV426769.1,148,201
PV426769.1,149,204
PV426769.1,150,200
PV426769.1,151,202
PV426769.1,152,205
PV426769.1,153,203
PV426769.1,154,206
PV426769.1,155,201
PV426769.1,156,198
PV426769.1,157,200
PV426769.1,158,199
PV426769.1,159,193
PV426769.1,160,192
PV426769.1,161,193
PV426769.1,162,195
PV426769.1,163,194
PV426769.1,164,191
PV426769.1,165,192
PV426769.1,166,192
PV426769.1,167,177
PV426769.1,168,189
PV426769.1,169,195
PV426769.1,170,195
PV426769.1,171,192
PV426769.1,172,197
PV426769.1,173,197
PV426769.1,174,201
PV426769.1,175,202
PV426769.1,176,205
PV426769.1,177,202
PV426769.1,178,201
PV426769.1,179,202
PV426769.1,180,192
PV426769.1,181,32
PV426769.1,182,190
PV426769.1,183,197
PV426769.1,184,205
PV426769.1,185,172
PV426769.1,186,192
PV426769.1,187,206
PV426769.1,188,216
PV426769.1,189,213
PV426769.1,190,217
PV426769.1,191,221
PV426769.1,192,228
PV426769.1,193,226
PV426769.1,194,213
PV426769.1,195,228
PV426769.1,196,227
PV426769.1,197,223
PV426769.1,198,209
PV426769.1,199,179
PV426769.1,200,52
PV426769.1,201,69
PV426769.1,202,70
PV426769.1,203,228
PV426769.1,204,221
PV426769.1,205,218
PV426769.1,206,224
PV426769.1,207,234
PV426769.1,208,238
PV426769.1,209,241
PV426769.1,210,239
PV426769.1,211,242
PV426769.1,212,239
PV426769.1,213,238
PV426769.1,214,237
PV426769.1,215,242
PV426769.1,216,242
