Chromosome,Position,Coverage
PV426769.1,1,0
PV426769.1,2,0
PV426769.1,3,0
PV426769.1,4,0
PV426769.1,5,0
PV426769.1,6,0
PV426769.1,7,0
PV426769.1,8,0
PV426769.1,9,0
PV426769.1,10,0
PV426769.1,11,0
PV426769.1,12,0
PV426769.1,13,0
PV426769.1,14,1
PV426769.1,15,1
PV426769.1,16,1
PV426769.1,17,1
PV426769.1,18,1
PV426769.1,19,1
PV426769.1,20,1
PV426769.1,21,1
PV426769.1,22,1
PV426769.1,23,1
PV426769.1,24,1
PV426769.1,25,1
PV426769.1,26,1
PV426769.1,27,1
PV426769.1,28,1
PV426769.1,29,1
PV426769.1,30,1
PV426769.1,31,1
PV426769.1,32,1
PV426769.1,33,2
PV426769.1,34,2
PV426769.1,35,2
PV426769.1,36,2
PV426769.1,37,2
PV426769.1,38,2
PV426769.1,39,2
PV426769.1,40,2
PV426769.1,41,2
PV426769.1,42,2
PV426769.1,43,2
PV426769.1,44,2
PV426769.1,45,2
PV426769.1,46,2
PV426769.1,47,2
PV426769.1,48,2
PV426769.1,49,2
PV426769.1,50,2
PV426769.1,51,2
PV426769.1,52,2
PV426769.1,53,2
PV426769.1,54,2
PV426769.1,55,2
PV426769.1,56,2
PV426769.1,57,2
PV426769.1,58,2
PV426769.1,59,2
PV426769.1,60,2
PV426769.1,61,2
PV426769.1,62,2
PV426769.1,63,2
PV426769.1,64,2
PV426769.1,65,2
PV426769.1,66,2
PV426769.1,67,2
PV426769.1,68,4
PV426769.1,69,4
PV426769.1,70,4
PV426769.1,71,4
PV426769.1,72,4
PV426769.1,73,4
PV426769.1,74,4
PV426769.1,75,4
PV426769.1,76,5
PV426769.1,77,5
PV426769.1,78,5
PV426769.1,79,7
PV426769.1,80,7
PV426769.1,81,7
PV426769.1,82,7
PV426769.1,83,7
PV426769.1,84,7
PV426769.1,85,7
PV426769.1,86,7
PV426769.1,87,7
PV426769.1,88,7
PV426769.1,89,7
PV426769.1,90,7
PV426769.1,91,7
PV426769.1,92,7
PV426769.1,93,7
PV426769.1,94,7
PV426769.1,95,7
PV426769.1,96,7
PV426769.1,97,7
PV426769.1,98,7
PV426769.1,99,7
PV426769.1,100,7
PV426769.1,101,7
PV426769.1,102,7
PV426769.1,103,7
PV426769.1,104,7
PV426769.1,105,7
PV426769.1,106,7
